?cls	?xref
<http://purl.obolibrary.org/obo/GO_0015721>	"Reactome:R-HSA-159418"
<http://purl.obolibrary.org/obo/XAO_0005071>	"UBERON:0002419"
<http://purl.obolibrary.org/obo/GO_0042054>	"Reactome:R-HSA-5216234"
<http://purl.obolibrary.org/obo/GO_0042054>	"Reactome:R-HSA-5205861"
<http://purl.obolibrary.org/obo/GO_0042054>	"Reactome:R-HSA-9822583"
<http://purl.obolibrary.org/obo/XAO_0000454>	"UBERON:0001280"
<http://purl.obolibrary.org/obo/XAO_0003017>	"CL:0000057"
<http://purl.obolibrary.org/obo/XAO_0004007>	"UBERON:0000490"
<http://purl.obolibrary.org/obo/XAO_0004007>	"CARO:0000073"
<http://purl.obolibrary.org/obo/XAO_0005120>	"GO:0005783"
<http://purl.obolibrary.org/obo/XAO_0003269>	"UBERON:0011648"
<http://purl.obolibrary.org/obo/XAO_0004530>	"UBERON:0004069"
<http://purl.obolibrary.org/obo/XAO_0000259>	"UBERON:0003077"
<http://purl.obolibrary.org/obo/XAO_0000058>	"UBERON:0002329"
<http://purl.obolibrary.org/obo/XAO_0004016>	"UBERON:0010522"
<http://purl.obolibrary.org/obo/XAO_0005080>	"UBERON:0004290"
<http://purl.obolibrary.org/obo/XAO_0003239>	"CL:0000080"
<http://purl.obolibrary.org/obo/GO_0005773>	"Wikipedia:Vacuole"
<http://purl.obolibrary.org/obo/XAO_0000151>	"UBERON:0005319"
<http://purl.obolibrary.org/obo/XAO_0000455>	"UBERON:0001173"
<http://purl.obolibrary.org/obo/XAO_0004008>	"UBERON:0000485"
<http://purl.obolibrary.org/obo/XAO_0004008>	"CARO:0000068"
<http://purl.obolibrary.org/obo/XAO_0005072>	"UBERON:0004790"
<http://purl.obolibrary.org/obo/XAO_0003155>	"CL:0000542"
<http://purl.obolibrary.org/obo/XAO_0004596>	"UBERON:2000459"
<http://purl.obolibrary.org/obo/XAO_0004017>	"UBERON:0010363"
<http://purl.obolibrary.org/obo/XAO_0004540>	"UBERON:0010011"
<http://purl.obolibrary.org/obo/XAO_0000291>	"UBERON:0005323"
<http://purl.obolibrary.org/obo/XAO_0000120>	"UBERON:0008891"
<http://purl.obolibrary.org/obo/XAO_0000269>	"UBERON:0000930"
<http://purl.obolibrary.org/obo/XAO_0004070>	"UBERON:0001898"
<http://purl.obolibrary.org/obo/XAO_0004009>	"CARO:0000067"
<http://purl.obolibrary.org/obo/XAO_0004009>	"UBERON:0000484"
<http://purl.obolibrary.org/obo/XAO_0005122>	"GO:0005874"
<http://purl.obolibrary.org/obo/XAO_0000330>	"UBERON:0003890"
<http://purl.obolibrary.org/obo/XAO_0000426>	"UBERON:0001579"
<http://purl.obolibrary.org/obo/XAO_0003156>	"CL:0000623"
<http://purl.obolibrary.org/obo/XAO_0004597>	"UBERON:0004731"
<http://purl.obolibrary.org/obo/XAO_0000014>	"UBERON:0001891"
<http://purl.obolibrary.org/obo/XAO_0004189>	"UBERON:0002062"
<http://purl.obolibrary.org/obo/XAO_0004018>	"UBERON:0002513"
<http://purl.obolibrary.org/obo/XAO_0000121>	"UBERON:0002185"
<http://purl.obolibrary.org/obo/XAO_0003006>	"CARO:0000027"
<http://purl.obolibrary.org/obo/XAO_0003006>	"UBERON:0003101"
<http://purl.obolibrary.org/obo/XAO_0000292>	"UBERON:0005322"
<http://purl.obolibrary.org/obo/XAO_0006030>	"CL:0000556"
<http://purl.obolibrary.org/obo/XAO_0003100>	"UBERON:0001896"
<http://purl.obolibrary.org/obo/XAO_0004541>	"UBERON:0001880"
<http://purl.obolibrary.org/obo/XAO_0000153>	"UBERON:0000057"
<http://purl.obolibrary.org/obo/XAO_0000457>	"UBERON:0001202"
<http://purl.obolibrary.org/obo/GO_0019674>	"Reactome:R-HSA-196807"
<http://purl.obolibrary.org/obo/XAO_0004111>	"CL:0000573"
<http://purl.obolibrary.org/obo/GO_0016874>	"EC:6.-.-.-"
<http://purl.obolibrary.org/obo/XAO_0004071>	"UBERON:0000959"
<http://purl.obolibrary.org/obo/GO_0000281>	"Reactome:R-HSA-68884"
<http://purl.obolibrary.org/obo/XAO_0004567>	"UBERON:2000248"
<http://purl.obolibrary.org/obo/XAO_0000427>	"UBERON:0001675"
<http://purl.obolibrary.org/obo/XAO_0003157>	"CL:0000084"
<http://purl.obolibrary.org/obo/XAO_0004598>	"UBERON:0014775"
<http://purl.obolibrary.org/obo/XAO_0000015>	"UBERON:0002028"
<http://purl.obolibrary.org/obo/XAO_0004019>	"UBERON:0002412"
<http://purl.obolibrary.org/obo/XAO_0000122>	"UBERON:0002390"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"CAS:53-43-0"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"Drug_Central:795"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"MetaCyc:3-BETA-HYDROXYANDROST-5-EN-17-ONE"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"PDBeChem:AND"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"Reaxys:2058110"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"KEGG:C01227"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"PMID:24256992"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"PMID:24424045"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"PMID:18634257"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"HMDB:HMDB0000077"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"KEGG:D08409"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"PMID:14662261"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"LIPID_MAPS_instance:LMST02020021"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"Wikipedia:Dehydroepiandrosterone"
<http://purl.obolibrary.org/obo/CHEBI_28689>	"DrugBank:DB01708"
<http://purl.obolibrary.org/obo/GO_0006568>	"Wikipedia:Tryptophan"
<http://purl.obolibrary.org/obo/XAO_0006031>	"CL:0000091"
<http://purl.obolibrary.org/obo/GO_0030097>	"Wikipedia:Haematopoiesis"
<http://purl.obolibrary.org/obo/XAO_0000154>	"UBERON:0001255"
<http://purl.obolibrary.org/obo/XAO_0003101>	"UBERON:0001780"
<http://purl.obolibrary.org/obo/XAO_0004542>	"UBERON:0002883"
<http://purl.obolibrary.org/obo/XAO_0004072>	"UBERON:0002034"
<http://purl.obolibrary.org/obo/XAO_0005124>	"UBERON:0000115"
<http://purl.obolibrary.org/obo/XAO_0004112>	"CL:0000604"
<http://purl.obolibrary.org/obo/XAO_0004568>	"UBERON:0002892"
<http://purl.obolibrary.org/obo/XAO_0003158>	"CL:0000236"
<http://purl.obolibrary.org/obo/XAO_0000016>	"UBERON:0003052"
<http://purl.obolibrary.org/obo/XAO_0000428>	"UBERON:0001675"
<http://purl.obolibrary.org/obo/XAO_0000294>	"UBERON:0000090"
<http://purl.obolibrary.org/obo/GO_0032259>	"Wikipedia:Methylation"
<http://purl.obolibrary.org/obo/GO_0032259>	"Reactome:R-HSA-156581"
<http://purl.obolibrary.org/obo/GO_0060026>	"Wikipedia:Convergent_extension"
<http://purl.obolibrary.org/obo/XAO_0003102>	"UBERON:0001077"
<http://purl.obolibrary.org/obo/XAO_0000389>	"UBERON:0004450"
<http://purl.obolibrary.org/obo/GO_0006020>	"Wikipedia:Inositol"
<http://purl.obolibrary.org/obo/XAO_0000155>	"UBERON:0000079"
<http://purl.obolibrary.org/obo/XAO_0006034>	"CL:0000040"
<http://purl.obolibrary.org/obo/XAO_0003061>	"UBERON:0001440"
<http://purl.obolibrary.org/obo/XAO_0000333>	"UBERON:0005892"
<http://purl.obolibrary.org/obo/XAO_0003063>	"UBERON:0007831"
<http://purl.obolibrary.org/obo/GO_0006357>	"Reactome:R-HSA-8864260"
<http://purl.obolibrary.org/obo/XAO_0000429>	"UBERON:0001785"
<http://purl.obolibrary.org/obo/XAO_0000017>	"UBERON:0000007"
<http://purl.obolibrary.org/obo/XAO_0004608>	"UBERON:0002286"
<http://purl.obolibrary.org/obo/GO_0031045>	"NIF_Subcellular:sao772007592"
<http://purl.obolibrary.org/obo/XAO_0006035>	"CL:0002375"
<http://purl.obolibrary.org/obo/XAO_0005020>	"CL:0000499"
<http://purl.obolibrary.org/obo/XAO_0000156>	"UBERON:0000474"
<http://purl.obolibrary.org/obo/XAO_0003062>	"UBERON:0001441"
<http://purl.obolibrary.org/obo/XAO_0003064>	"UBERON:0007832"
<http://purl.obolibrary.org/obo/XAO_0000040>	"UBERON:0001444"
<http://purl.obolibrary.org/obo/GO_0060271>	"Reactome:R-HSA-5617833"
<http://purl.obolibrary.org/obo/XAO_0000018>	"UBERON:0005294"
<http://purl.obolibrary.org/obo/XAO_0004609>	"UBERON:0000125"
<http://purl.obolibrary.org/obo/XAO_0005040>	"UBERON:0001841"
<http://purl.obolibrary.org/obo/XAO_0006036>	"CL:0002377"
<http://purl.obolibrary.org/obo/XAO_0004475>	"CL:0000187"
<http://purl.obolibrary.org/obo/XAO_0000157>	"UBERON:0000473"
<http://purl.obolibrary.org/obo/GO_0001837>	"Reactome:R-HSA-9758919"
<http://purl.obolibrary.org/obo/XAO_0003169>	"UBERON:0003113"
<http://purl.obolibrary.org/obo/GO_0000050>	"Reactome:R-HSA-70635"
<http://purl.obolibrary.org/obo/GO_0000050>	"Wikipedia:Urea_cycle"
<http://purl.obolibrary.org/obo/XAO_0000159>	"UBERON:0000006"
<http://purl.obolibrary.org/obo/XAO_0003065>	"UBERON:0005417"
<http://purl.obolibrary.org/obo/XAO_0003230>	"UBERON:0001774"
<http://purl.obolibrary.org/obo/XAO_0000041>	"UBERON:0002025"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"KNApSAcK:C00001414"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"Drug_Central:1375"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"KEGG:D08040"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PMID:16399866"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PMID:19547708"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"HMDB:HMDB0000870"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PMID:22770225"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"CAS:51-45-6"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PMID:24101735"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PDBeChem:HSM"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"KEGG:C00388"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"PMID:19843401"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"Reaxys:2012"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"Wikipedia:Histamine"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"MetaCyc:HISTAMINE"
<http://purl.obolibrary.org/obo/CHEBI_18295>	"Gmelin:2968"
<http://purl.obolibrary.org/obo/XAO_0003208>	"UBERON:0010544"
<http://purl.obolibrary.org/obo/XAO_0005041>	"UBERON:0001843"
<http://purl.obolibrary.org/obo/XAO_0003074>	"UBERON:0001130"
<http://purl.obolibrary.org/obo/XAO_0005043>	"CL:0000594"
<http://purl.obolibrary.org/obo/XAO_0004476>	"CL:0000188"
<http://purl.obolibrary.org/obo/XAO_0003261>	"CL:0000853"
<http://purl.obolibrary.org/obo/XAO_0000158>	"UBERON:0000949"
<http://purl.obolibrary.org/obo/XAO_0006037>	"CL:0000218"
<http://purl.obolibrary.org/obo/XAO_0000050>	"UBERON:0000926"
<http://purl.obolibrary.org/obo/XAO_0003066>	"UBERON:0005418"
<http://purl.obolibrary.org/obo/XAO_0000336>	"UBERON:0003084"
<http://purl.obolibrary.org/obo/XAO_0003231>	"CL:0000212"
<http://purl.obolibrary.org/obo/XAO_0003209>	"UBERON:0006715"
<http://purl.obolibrary.org/obo/XAO_0000284>	"UBERON:0003078"
<http://purl.obolibrary.org/obo/XAO_0005254>	"GO:0043296"
<http://purl.obolibrary.org/obo/XAO_0004000>	"UBERON:0000058"
<http://purl.obolibrary.org/obo/XAO_0003073>	"UBERON:0002090"
<http://purl.obolibrary.org/obo/XAO_0005042>	"UBERON:0001842"
<http://purl.obolibrary.org/obo/XAO_0003260>	"CL:0000562"
<http://purl.obolibrary.org/obo/XAO_0004477>	"CL:0000192"
<http://purl.obolibrary.org/obo/XAO_0003075>	"UBERON:0010323"
<http://purl.obolibrary.org/obo/XAO_0005044>	"CL:0002573"
<http://purl.obolibrary.org/obo/XAO_0003262>	"CL:0000329"
<http://purl.obolibrary.org/obo/XAO_0000051>	"UBERON:0005805"
<http://purl.obolibrary.org/obo/GO_0042403>	"Reactome:R-HSA-350864"
<http://purl.obolibrary.org/obo/GO_0043647>	"Reactome:R-HSA-1483249"
<http://purl.obolibrary.org/obo/XAO_0003232>	"CL:0000161"
<http://purl.obolibrary.org/obo/XAO_0000285>	"UBERON:0005309"
<http://purl.obolibrary.org/obo/XAO_0005255>	"GO:0030175"
<http://purl.obolibrary.org/obo/XAO_0004001>	"UBERON:0000463"
<http://purl.obolibrary.org/obo/XAO_0000474>	"UBERON:0005412"
<http://purl.obolibrary.org/obo/XAO_0003076>	"UBERON:0002413"
<http://purl.obolibrary.org/obo/XAO_0003263>	"CL:0000512"
<http://purl.obolibrary.org/obo/XAO_0000052>	"UBERON:0004344"
<http://purl.obolibrary.org/obo/XAO_0005247>	"UBERON:0003260"
<http://purl.obolibrary.org/obo/XAO_0004010>	"CARO:0000070"
<http://purl.obolibrary.org/obo/XAO_0004010>	"UBERON:0000487"
<http://purl.obolibrary.org/obo/XAO_0003233>	"CL:0000622"
<http://purl.obolibrary.org/obo/XAO_0003077>	"UBERON:0004451"
<http://purl.obolibrary.org/obo/XAO_0006026>	"CL:0000051"
<http://purl.obolibrary.org/obo/XAO_0000475>	"UBERON:0003098"
<http://purl.obolibrary.org/obo/XAO_0000230>	"CL:0000477"
<http://purl.obolibrary.org/obo/XAO_0004180>	"UBERON:0002264"
<http://purl.obolibrary.org/obo/XAO_0000053>	"UBERON:0006904"
<http://purl.obolibrary.org/obo/GO_0007610>	"Wikipedia:Behavior"
<http://purl.obolibrary.org/obo/XAO_0004011>	"UBERON:0005944"
<http://purl.obolibrary.org/obo/XAO_0004529>	"UBERON:0001768"
<http://purl.obolibrary.org/obo/XAO_0003234>	"CL:0000435"
<http://purl.obolibrary.org/obo/XAO_0000079>	"UBERON:0003063"
<http://purl.obolibrary.org/obo/XAO_0000287>	"UBERON:0006337"
<http://purl.obolibrary.org/obo/XAO_0004172>	"UBERON:0011944"
<http://purl.obolibrary.org/obo/XAO_0004174>	"UBERON:0010205"
<http://purl.obolibrary.org/obo/XAO_0004560>	"UBERON:0002179"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9693722"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9027033"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-8936442"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-8878581"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-390425"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-265296"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9020249"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-1614362"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9020260"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9025007"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-390438"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9024624"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9026917"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-5662660"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9024630"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-209960"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9759549"
<http://purl.obolibrary.org/obo/GO_0016491>	"EC:1.-.-.-"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-9026001"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-209921"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-2161612"
<http://purl.obolibrary.org/obo/GO_0016491>	"Reactome:R-HSA-266051"
<http://purl.obolibrary.org/obo/XAO_0003078>	"UBERON:0001094"
<http://purl.obolibrary.org/obo/XAO_0000326>	"UBERON:0006293"
<http://purl.obolibrary.org/obo/XAO_0004012>	"UBERON:0004765"
<http://purl.obolibrary.org/obo/XAO_0003000>	"UBERON:0000061"
<http://purl.obolibrary.org/obo/XAO_0003000>	"CARO:0000003"
<http://purl.obolibrary.org/obo/XAO_0004181>	"CL:0000746"
<http://purl.obolibrary.org/obo/XAO_0003235>	"CL:0000215"
<http://purl.obolibrary.org/obo/XAO_0004038>	"UBERON:0004755"
<http://purl.obolibrary.org/obo/XAO_0004173>	"UBERON:0001634"
<http://purl.obolibrary.org/obo/XAO_0000119>	"UBERON:0002048"
<http://purl.obolibrary.org/obo/XAO_0003079>	"UBERON:0001095"
<http://purl.obolibrary.org/obo/XAO_0004539>	"UBERON:0002743"
<http://purl.obolibrary.org/obo/XAO_0004069>	"CL:0000333"
<http://purl.obolibrary.org/obo/XAO_0004590>	"UBERON:2000599"
<http://purl.obolibrary.org/obo/XAO_0003151>	"CL:0000018"
<http://purl.obolibrary.org/obo/XAO_0004182>	"UBERON:0002407"
<http://purl.obolibrary.org/obo/XAO_0004013>	"UBERON:0007844"
<http://purl.obolibrary.org/obo/XAO_0003001>	"UBERON:0000480"
<http://purl.obolibrary.org/obo/XAO_0003001>	"CARO:0000054"
<http://purl.obolibrary.org/obo/XAO_0004562>	"UBERON:0001937"
<http://purl.obolibrary.org/obo/XAO_0004090>	"UBERON:0003071"
<http://purl.obolibrary.org/obo/XAO_0000328>	"UBERON:0002106"
<http://purl.obolibrary.org/obo/XAO_0003150>	"CL:0000300"
<http://purl.obolibrary.org/obo/XAO_0003152>	"UBERON:0002405"
<http://purl.obolibrary.org/obo/XAO_0004593>	"UBERON:0002778"
<http://purl.obolibrary.org/obo/XAO_0004217>	"CL:0000100"
<http://purl.obolibrary.org/obo/XAO_0004185>	"UBERON:0004140"
<http://purl.obolibrary.org/obo/XAO_0003002>	"UBERON:0000467"
<http://purl.obolibrary.org/obo/XAO_0003002>	"CARO:0000011"
<http://purl.obolibrary.org/obo/XAO_0004091>	"UBERON:0005497"
<http://purl.obolibrary.org/obo/XAO_0004563>	"UBERON:0014741"
<http://purl.obolibrary.org/obo/XAO_0000175>	"UBERON:0001135"
<http://purl.obolibrary.org/obo/XAO_0005145>	"UBERON:0001160"
<http://purl.obolibrary.org/obo/XAO_0000329>	"UBERON:0005891"
<http://purl.obolibrary.org/obo/XAO_0004594>	"UBERON:0014913"
<http://purl.obolibrary.org/obo/XAO_0003224>	"UBERON:0001788"
<http://purl.obolibrary.org/obo/XAO_0004602>	"UBERON:0004086"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-5654566"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-5654565"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-5654562"
<http://purl.obolibrary.org/obo/GO_0004707>	"EC:2.7.11.24"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-445079"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-5654560"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-198733"
<http://purl.obolibrary.org/obo/GO_0004707>	"MetaCyc:2.7.11.24-RXN"
<http://purl.obolibrary.org/obo/GO_0004707>	"KEGG_REACTION:R00162"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-9626832"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-73722"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-111898"
<http://purl.obolibrary.org/obo/GO_0004707>	"Reactome:R-HSA-9825759"
<http://purl.obolibrary.org/obo/XAO_0004186>	"UBERON:0009889"
<http://purl.obolibrary.org/obo/XAO_0003160>	"CARO:0000041"
<http://purl.obolibrary.org/obo/XAO_0003160>	"UBERON:0000477"
<http://purl.obolibrary.org/obo/XAO_0000176>	"UBERON:0002416"
<http://purl.obolibrary.org/obo/XAO_0000352>	"UBERON:0003122"
<http://purl.obolibrary.org/obo/XAO_0003162>	"CARO:0000040"
<http://purl.obolibrary.org/obo/XAO_0003162>	"UBERON:0000476"
<http://purl.obolibrary.org/obo/GO_0007155>	"Wikipedia:Cell_adhesion"
<http://purl.obolibrary.org/obo/XAO_0005146>	"UBERON:0002501"
<http://purl.obolibrary.org/obo/XAO_0003004>	"CARO:0000012"
<http://purl.obolibrary.org/obo/XAO_0003004>	"UBERON:0000468"
<http://purl.obolibrary.org/obo/XAO_0003225>	"UBERON:0001795"
<http://purl.obolibrary.org/obo/XAO_0000361>	"UBERON:0005609"
<http://purl.obolibrary.org/obo/GO_0007617>	"Wikipedia:Mating_behaviour"
<http://purl.obolibrary.org/obo/XAO_0003161>	"UBERON:0004347"
<http://purl.obolibrary.org/obo/XAO_0004565>	"UBERON:0002267"
<http://purl.obolibrary.org/obo/XAO_0000177>	"UBERON:0001016"
<http://purl.obolibrary.org/obo/XAO_0003163>	"CARO:0000065"
<http://purl.obolibrary.org/obo/XAO_0003163>	"UBERON:0000482"
<http://purl.obolibrary.org/obo/XAO_0004135>	"UBERON:0006215"
<http://purl.obolibrary.org/obo/GO_0006071>	"MetaCyc:GLYCEROLMETAB-PWY"
<http://purl.obolibrary.org/obo/GO_0006566>	"UM-BBD_pathwayID:met"
<http://purl.obolibrary.org/obo/XAO_0003226>	"UBERON:0001945"
<http://purl.obolibrary.org/obo/XAO_0003005>	"CARO:0000028"
<http://purl.obolibrary.org/obo/XAO_0003005>	"UBERON:0003100"
<http://purl.obolibrary.org/obo/XAO_0003164>	"CARO:0000074"
<http://purl.obolibrary.org/obo/XAO_0003164>	"UBERON:0000491"
<http://purl.obolibrary.org/obo/XAO_0004110>	"CL:0000287"
<http://purl.obolibrary.org/obo/XAO_0004566>	"UBERON:0002148"
<http://purl.obolibrary.org/obo/GO_0052598>	"RHEA:25625"
<http://purl.obolibrary.org/obo/GO_0052598>	"Reactome:R-HSA-5696131"
<http://purl.obolibrary.org/obo/GO_0052598>	"KEGG_REACTION:R02150"
<http://purl.obolibrary.org/obo/GO_0052598>	"MetaCyc:RXN-9600"
<http://purl.obolibrary.org/obo/XAO_0000178>	"UBERON:0000010"
<http://purl.obolibrary.org/obo/XAO_0004136>	"UBERON:0002212"
<http://purl.obolibrary.org/obo/GO_0019221>	"Reactome:R-HSA-9680350"
<http://purl.obolibrary.org/obo/GO_0019221>	"Reactome:R-HSA-9607240"
<http://purl.obolibrary.org/obo/GO_0019221>	"Reactome:R-HSA-913531"
<http://purl.obolibrary.org/obo/GO_0019221>	"Reactome:R-HSA-9674555"
<http://purl.obolibrary.org/obo/GO_0019221>	"Reactome:R-HSA-449147"
<http://purl.obolibrary.org/obo/XAO_0003227>	"UBERON:0001042"
<http://purl.obolibrary.org/obo/XAO_0000217>	"UBERON:0002067"
<http://purl.obolibrary.org/obo/XAO_0004605>	"UBERON:0002206"
<http://purl.obolibrary.org/obo/XAO_0000187>	"UBERON:0003067"
<http://purl.obolibrary.org/obo/XAO_0003165>	"CARO:0000072"
<http://purl.obolibrary.org/obo/XAO_0003165>	"UBERON:0000489"
<http://purl.obolibrary.org/obo/XAO_0000179>	"UBERON:0000019"
<http://purl.obolibrary.org/obo/XAO_0004137>	"UBERON:0007274"
<http://purl.obolibrary.org/obo/XAO_0003228>	"UBERON:0008777"
<http://purl.obolibrary.org/obo/GO_0007548>	"Wikipedia:Sexual_differentiation"
<http://purl.obolibrary.org/obo/XAO_0004606>	"UBERON:2000633"
<http://purl.obolibrary.org/obo/XAO_0000218>	"UBERON:0000026"
<http://purl.obolibrary.org/obo/XAO_0000188>	"UBERON:0000941"
<http://purl.obolibrary.org/obo/XAO_0000364>	"UBERON:0003086"
<http://purl.obolibrary.org/obo/XAO_0005065>	"UBERON:0001322"
<http://purl.obolibrary.org/obo/XAO_0003060>	"UBERON:0001434"
<http://purl.obolibrary.org/obo/XAO_0003166>	"UBERON:0002091"
<http://purl.obolibrary.org/obo/XAO_0000072>	"UBERON:0003062"
<http://purl.obolibrary.org/obo/GO_0009058>	"Wikipedia:Anabolism"
<http://purl.obolibrary.org/obo/XAO_0004138>	"CL:0000098"
<http://purl.obolibrary.org/obo/XAO_0000280>	"UBERON:0012285"
<http://purl.obolibrary.org/obo/XAO_0000111>	"CL:0000586"
<http://purl.obolibrary.org/obo/XAO_0003229>	"UBERON:0008778"
<http://purl.obolibrary.org/obo/XAO_0004473>	"UBERON:2000083"
<http://purl.obolibrary.org/obo/XAO_0004555>	"UBERON:0005378"
<http://purl.obolibrary.org/obo/XAO_0000189>	"UBERON:0001690"
<http://purl.obolibrary.org/obo/XAO_0004147>	"UBERON:0005487"
<http://purl.obolibrary.org/obo/XAO_0000250>	"UBERON:0003076"
<http://purl.obolibrary.org/obo/XAO_0005066>	"UBERON:0001783"
<http://purl.obolibrary.org/obo/XAO_0000228>	"UBERON:0004128"
