anatomical_entity	quality	quality_label
XAO:0000058	PATO:0000573	increased length
XAO:0000054	PATO:0000574	decreased length
XAO:0000055	PATO:0000574	decreased length
XAO:0000087	PATO:0000574	decreased length
XAO:0000087	PATO:0000574	decreased length
XAO:0000092	PATO:0000574	decreased length
XAO:0000092	PATO:0000574	decreased length
XAO:0000092	PATO:0000574	decreased length
XAO:0000092	PATO:0000574	decreased length
XAO:0000104	PATO:0000574	decreased length
XAO:0000104	PATO:0000574	decreased length
XAO:0000104	PATO:0000574	decreased length
XAO:0000125	PATO:0000574	decreased length
XAO:0000129	PATO:0000574	decreased length
XAO:0003004	PATO:0000574	decreased length
XAO:0003004	PATO:0000574	decreased length
XAO:0003004	PATO:0000574	decreased length
XAO:0003004	PATO:0000574	decreased length
XAO:0003004	PATO:0000574	decreased length
XAO:0003025	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003026	PATO:0000574	decreased length
XAO:0003030	PATO:0000574	decreased length
XAO:0003030	PATO:0000574	decreased length
XAO:0003030	PATO:0000574	decreased length
XAO:0003031	PATO:0000574	decreased length
XAO:0003031	PATO:0000574	decreased length
XAO:0003031	PATO:0000574	decreased length
XAO:0003031	PATO:0000574	decreased length
XAO:0003031	PATO:0000574	decreased length
XAO:0003094	PATO:0000574	decreased length
XAO:0003096	PATO:0000574	decreased length
XAO:0003097	PATO:0000574	decreased length
XAO:0003101	PATO:0000574	decreased length
XAO:0003210	PATO:0000574	decreased length
